Invoice_ID,Booking_Date,Invoice_Date,Model,Variant,Fuel_Type,Color,Sales_Channel,Salesperson_ID,Ex_Showroom_Price,Discount,Finance_Used,Exchange_Used,Gross_Margin,Net_Sale_Price
INV10090,2024-02-22,2024-03-25,Baleno,Base,EV,White,Corporate,SP16,1273131,27525,Yes,No,131033,1245606
INV10091,2024-08-04,2024-11-23,Swift,Mid,Diesel,Black,Walk-in,SP5,1529517,72651,Yes,Yes,138821,1456866
INV10092,2024-07-06,2025-03-25,Swift,Mid,Diesel,Black,Walk-in,SP16,956021,30486,No,No,54648,925535
INV10093,2025-01-14,2025-03-29,City,Top,Diesel,Black,Walk-in,SP7,874557,78604,Yes,Yes,80623,795953
INV10094,2025-05-07,2025-09-20,Venue,Mid,EV,Black,Referral,SP19,1497887,18640,Yes,Yes,98033,1479247
INV10095,2024-02-10,2024-08-08,City,Base,EV,White,Walk-in,SP1,1038795,61455,Yes,No,104480,977340
INV10096,2024-06-05,2024-06-02,City,Top,EV,Blue,Digital,SP9,1873651,36136,Yes,Yes,27527,1837515
INV10097,2024-01-15,2025-10-26,Nexon,Mid,Diesel,Silver,Walk-in,SP18,1099787,62425,Yes,No,124000,1037362
INV10098,2024-03-05,2024-01-12,City,Mid,EV,Red,Referral,SP13,1228229,56539,No,No,23072,1171690
INV10099,2025-06-04,2024-05-12,Nexon,Base,Petrol,Silver,Digital,SP15,1400794,24942,Yes,No,32018,1375852
INV10100,2024-12-09,2024-10-30,Swift,Base,EV,Silver,Walk-in,SP3,1907539,68363,No,No,49652,1839176
INV10101,2024-05-08,2024-10-19,Swift,Top,EV,Red,Digital,SP10,1652188,58596,Yes,Yes,24476,1593592
INV10102,2025-10-09,2024-10-26,City,Mid,EV,White,Digital,SP9,586120,35255,Yes,No,129371,550865
INV10103,2025-04-16,2024-02-12,Swift,Base,EV,Red,Referral,SP13,1403841,62129,No,Yes,115768,1341712
INV10104,2024-03-03,2024-12-08,Venue,Top,EV,White,Referral,SP16,1377350,62286,Yes,Yes,47482,1315064
INV10105,2024-05-18,2024-11-21,Nexon,Mid,Petrol,Silver,Digital,SP3,1090888,16277,Yes,No,122793,1074611
INV10106,2025-05-13,2025-05-12,Nexon,Mid,Petrol,White,Walk-in,SP15,1066136,1643,No,No,82513,1064493
INV10107,2025-08-15,2024-12-29,City,Top,EV,Blue,Referral,SP17,1526923,23729,No,Yes,106411,1503194
INV10108,2025-01-26,2025-03-02,Swift,Top,Diesel,Red,Digital,SP14,1031108,21818,Yes,No,36219,1009290
INV10109,2025-11-05,2024-01-21,Baleno,Base,EV,Blue,Corporate,SP7,1294944,65555,No,Yes,50448,1229389
INV10110,2025-02-22,2025-02-10,Nexon,Mid,EV,Silver,Corporate,SP20,1716373,53629,No,No,99903,1662744
INV10111,2024-10-15,2025-09-10,City,Mid,EV,Red,Referral,SP16,813678,55438,No,Yes,45120,758240
INV10112,2025-01-13,2024-12-01,City,Mid,Diesel,Silver,Walk-in,SP8,1935911,9457,No,Yes,26855,1926454
INV10113,2025-05-04,2024-04-26,Venue,Top,Diesel,Blue,Corporate,SP4,1085233,59629,Yes,No,76553,1025604
INV10114,2024-08-18,2024-05-03,Creta,Base,Diesel,Silver,Corporate,SP20,845564,33922,Yes,Yes,88633,811642
INV10115,2024-02-10,2025-02-02,Creta,Mid,Petrol,Red,Corporate,SP15,1727103,9820,No,Yes,64585,1717283
INV10116,2024-01-28,2025-12-15,Nexon,Top,Diesel,Red,Walk-in,SP5,1894208,32750,Yes,No,105425,1861458
INV10117,2024-05-14,2024-02-20,Venue,Mid,Petrol,Silver,Walk-in,SP13,1013796,37790,No,No,21084,976006
INV10118,2024-07-19,2024-11-19,Venue,Base,Petrol,Red,Referral,SP6,683505,34421,Yes,No,118856,649084
INV10119,2024-02-02,2024-05-20,Venue,Mid,Diesel,Red,Referral,SP5,1820431,68038,Yes,No,41944,1752393
INV10120,2024-02-17,2025-04-14,Nexon,Base,Diesel,Silver,Corporate,SP17,1634585,62325,No,No,53921,1572260
INV10121,2025-05-17,2024-11-29,Creta,Base,Diesel,Blue,Walk-in,SP7,1239145,25600,No,Yes,81282,1213545
INV10122,2025-02-10,2025-01-07,Venue,Mid,Petrol,Red,Digital,SP6,1033885,29394,Yes,Yes,107393,1004491
INV10123,2025-07-27,2025-07-17,Swift,Mid,EV,Red,Corporate,SP2,1608643,79622,Yes,No,71397,1529021
INV10124,2025-12-28,2025-05-08,City,Base,Diesel,Red,Referral,SP11,1072310,36171,Yes,Yes,149822,1036139
INV10125,2024-04-08,2025-06-22,City,Top,Diesel,Red,Walk-in,SP7,1013959,61526,No,Yes,38070,952433
INV10126,2025-11-14,2025-10-30,Baleno,Base,Diesel,Silver,Referral,SP8,712996,13149,Yes,Yes,74987,699847
INV10127,2025-12-26,2024-06-04,Baleno,Mid,Petrol,Blue,Referral,SP5,1399105,30394,No,Yes,135381,1368711
INV10128,2025-06-30,2024-10-17,Nexon,Mid,Petrol,Blue,Walk-in,SP18,1533360,14396,No,Yes,76690,1518964
INV10129,2025-09-04,2025-10-09,Nexon,Top,EV,White,Corporate,SP16,911998,23324,No,No,110011,888674
INV10130,2025-04-06,2024-05-23,City,Base,Diesel,Red,Walk-in,SP14,1076070,47198,Yes,No,81134,1028872
INV10131,2025-10-04,2024-04-15,Swift,Base,Petrol,Red,Corporate,SP12,965360,31016,No,Yes,149170,934344
INV10132,2024-01-05,2025-02-23,Creta,Base,EV,White,Referral,SP17,1001525,3194,Yes,Yes,107755,998331
INV10133,2024-08-05,2025-10-31,Creta,Mid,Diesel,Blue,Walk-in,SP5,1404462,32398,No,No,126993,1372064
INV10134,2025-05-17,2025-10-19,Nexon,Base,Petrol,Black,Digital,SP14,1358468,4789,Yes,No,79439,1353679
INV10135,2025-02-01,2024-01-02,Swift,Top,Diesel,Black,Corporate,SP6,1846062,64967,Yes,No,51489,1781095
INV10136,2025-01-27,2025-08-11,Nexon,Mid,Diesel,Blue,Digital,SP15,1634321,61134,No,No,43178,1573187
INV10137,2024-07-25,2025-10-05,Creta,Mid,Petrol,Red,Corporate,SP7,1438481,70886,No,Yes,99019,1367595
INV10138,2024-01-15,2024-03-30,Nexon,Base,Petrol,Black,Walk-in,SP14,1783224,24977,Yes,No,77956,1758247
INV10139,2025-07-07,2024-12-10,Venue,Top,Petrol,Silver,Digital,SP18,1868116,129,Yes,No,67802,1867987
INV10140,2025-04-05,2024-12-15,Nexon,Mid,Diesel,Silver,Walk-in,SP1,1663412,59683,No,Yes,130463,1603729
INV10141,2025-11-21,2025-04-03,City,Mid,Diesel,White,Corporate,SP6,606998,45331,No,No,82778,561667
INV10142,2025-07-28,2024-09-19,Nexon,Base,EV,Blue,Corporate,SP3,550021,34626,Yes,No,77719,515395
INV10143,2024-08-28,2024-12-16,City,Base,Diesel,Blue,Corporate,SP5,1020410,48503,Yes,No,53573,971907
INV10144,2025-07-17,2024-04-17,Swift,Top,Petrol,Black,Corporate,SP12,1679248,27549,No,No,53688,1651699
INV10145,2024-04-05,2025-08-08,Creta,Base,Diesel,Red,Referral,SP11,880703,12342,Yes,No,131466,868361
INV10146,2025-04-29,2024-02-08,Baleno,Top,EV,Blue,Corporate,SP13,1244875,36417,No,Yes,138292,1208458
INV10147,2025-02-10,2024-06-07,Baleno,Mid,EV,Black,Digital,SP16,924018,76514,No,Yes,117065,847504
INV10148,2024-08-18,2025-08-05,Creta,Top,Petrol,Black,Corporate,SP18,1233121,52249,No,Yes,119747,1180872
INV10149,2025-10-16,2024-11-07,Baleno,Top,Petrol,Blue,Walk-in,SP17,1101305,52664,No,Yes,125352,1048641
INV10150,2024-06-19,2024-08-28,Nexon,Top,EV,Black,Referral,SP17,1211182,8833,Yes,Yes,66475,1202349
INV10151,2025-06-24,2025-03-20,Swift,Mid,EV,White,Digital,SP11,1993395,60658,No,No,70697,1932737
INV10152,2024-02-05,2024-10-24,Swift,Base,EV,White,Referral,SP20,864833,29473,No,No,53978,835360
INV10153,2025-06-08,2024-02-05,Creta,Mid,Petrol,Blue,Referral,SP10,580291,737,Yes,No,49677,579554
INV10154,2024-06-08,2024-03-24,Baleno,Base,EV,Red,Referral,SP16,1080294,46647,Yes,No,101540,1033647
INV10155,2025-11-29,2025-03-27,Nexon,Top,EV,White,Walk-in,SP2,1128556,64054,No,No,30272,1064502
INV10156,2024-08-30,2025-01-19,Swift,Top,Petrol,White,Referral,SP17,1860858,1299,No,No,26212,1859559
INV10157,2024-03-26,2024-06-20,Swift,Top,Diesel,Blue,Referral,SP20,1086686,63281,No,No,41071,1023405
INV10158,2025-07-31,2025-01-10,Venue,Top,Diesel,Silver,Corporate,SP10,721163,65875,No,No,139998,655288
INV10159,2025-11-12,2025-11-15,Venue,Top,EV,Black,Walk-in,SP13,1175234,32920,No,No,128644,1142314
INV10160,2025-07-10,2024-12-27,Swift,Base,Diesel,White,Digital,SP12,1674189,54836,No,No,95236,1619353
INV10161,2025-07-27,2025-07-12,Creta,Base,Diesel,Silver,Digital,SP15,602071,42381,Yes,No,115516,559690
INV10162,2025-10-07,2024-05-20,City,Top,Diesel,Red,Digital,SP7,610572,56298,Yes,No,37297,554274
INV10163,2024-01-28,2024-04-27,City,Mid,Diesel,Silver,Walk-in,SP13,1272054,24509,No,No,71932,1247545
INV10164,2025-09-11,2024-10-03,Nexon,Mid,EV,Blue,Digital,SP12,638997,42095,Yes,Yes,126885,596902
INV10165,2025-07-09,2025-12-26,Swift,Top,Diesel,Red,Walk-in,SP12,586388,51524,Yes,No,76884,534864
INV10166,2024-12-05,2024-08-07,Swift,Base,Diesel,Red,Corporate,SP2,1120007,66909,No,Yes,48625,1053098
INV10167,2024-11-26,2024-01-26,Swift,Mid,Petrol,Silver,Corporate,SP5,1622834,72618,Yes,No,48831,1550216
INV10168,2025-10-01,2025-06-04,Creta,Mid,EV,Blue,Walk-in,SP2,1336507,25532,Yes,No,139675,1310975
INV10169,2025-05-20,2024-01-10,Venue,Mid,Petrol,White,Digital,SP20,1309063,60285,No,No,138313,1248778
INV10170,2024-12-13,2025-01-12,Swift,Top,Petrol,Silver,Walk-in,SP13,1147408,18866,No,Yes,143950,1128542
INV10171,2025-04-17,2025-09-24,Swift,Mid,EV,White,Walk-in,SP3,1217804,7593,No,Yes,76478,1210211
INV10172,2024-08-18,2025-09-28,Baleno,Mid,Diesel,Silver,Referral,SP11,1009800,9495,Yes,No,82909,1000305
INV10173,2024-07-08,2025-11-12,Creta,Mid,Petrol,White,Walk-in,SP16,901099,7837,No,No,49367,893262
INV10174,2024-08-12,2025-08-06,Nexon,Mid,EV,Silver,Referral,SP1,1696845,76708,Yes,No,65813,1620137
INV10175,2025-01-19,2024-05-31,Swift,Base,Diesel,Red,Corporate,SP19,1916642,18680,No,No,120874,1897962
INV10176,2025-01-11,2025-12-20,Baleno,Top,EV,Black,Referral,SP11,533550,55476,No,Yes,40121,478074
INV10177,2024-10-09,2024-02-18,City,Top,Petrol,Red,Walk-in,SP9,776786,30346,No,Yes,55547,746440
INV10178,2025-09-24,2024-06-02,Nexon,Base,Diesel,White,Corporate,SP14,1130381,23412,No,No,83642,1106969
INV10179,2025-09-19,2024-10-19,Swift,Base,Diesel,Blue,Referral,SP9,917799,30804,Yes,Yes,44914,886995
INV10180,2024-09-15,2025-08-02,Swift,Top,EV,Red,Walk-in,SP7,1809764,65206,Yes,Yes,136664,1744558
INV10181,2024-12-24,2024-02-19,Baleno,Mid,Diesel,Black,Corporate,SP16,1103826,10934,No,No,129932,1092892
INV10182,2025-12-10,2025-10-25,Creta,Mid,Petrol,White,Referral,SP3,824158,30723,Yes,No,37178,793435
INV10183,2025-03-31,2025-06-14,Swift,Top,Petrol,Red,Walk-in,SP19,1305955,20405,No,No,87258,1285550
INV10184,2025-02-14,2025-09-03,City,Mid,Petrol,Silver,Walk-in,SP4,872429,18748,No,Yes,99421,853681
INV10185,2025-10-10,2024-02-29,Swift,Base,EV,Blue,Digital,SP7,1225903,70766,Yes,No,80563,1155137
INV10186,2024-11-13,2024-06-15,City,Mid,Diesel,White,Digital,SP12,1130167,46413,Yes,Yes,70050,1083754
INV10187,2025-11-07,2024-07-20,Nexon,Mid,Diesel,Red,Referral,SP18,590629,22354,No,No,82607,568275
INV10188,2024-08-12,2024-05-25,Nexon,Mid,Diesel,White,Referral,SP5,838974,74490,No,No,85638,764484
INV10189,2024-08-21,2025-11-06,Venue,Top,Petrol,Silver,Referral,SP10,1521445,17388,No,Yes,112971,1504057
INV10190,2025-11-14,2025-03-14,Venue,Base,Diesel,Black,Walk-in,SP12,1856258,36523,Yes,Yes,147068,1819735
INV10191,2025-10-25,2024-08-29,City,Mid,Petrol,Red,Referral,SP8,809454,57693,No,Yes,33262,751761
INV10192,2025-01-08,2025-08-03,Creta,Top,Diesel,White,Walk-in,SP19,1428412,35732,No,Yes,27453,1392680
INV10193,2025-11-02,2025-11-17,Swift,Mid,Petrol,White,Referral,SP15,1663842,41646,No,Yes,127943,1622196
INV10194,2025-08-30,2025-07-14,Swift,Base,Diesel,White,Walk-in,SP1,1736938,21021,No,Yes,65174,1715917
INV10195,2025-04-16,2025-04-27,Venue,Mid,EV,Black,Walk-in,SP3,946850,52776,No,No,136720,894074
INV10196,2024-08-20,2024-04-17,City,Base,EV,White,Digital,SP18,1299131,19116,No,Yes,97760,1280015
INV10197,2025-11-22,2024-08-13,Swift,Mid,Petrol,Blue,Corporate,SP18,1779817,72009,Yes,Yes,26172,1707808
INV10198,2024-04-22,2025-11-03,Swift,Base,Petrol,Blue,Walk-in,SP2,1799825,76620,No,No,96788,1723205
INV10199,2025-05-11,2025-09-22,Creta,Mid,Diesel,White,Referral,SP5,566912,44771,No,Yes,37918,522141
INV10200,2025-03-17,2025-10-22,Baleno,Base,Diesel,Blue,Digital,SP1,579183,28756,Yes,Yes,27197,550427
INV10201,2025-07-17,2025-10-23,Venue,Mid,EV,Red,Referral,SP10,560282,2919,Yes,No,117127,557363
INV10202,2024-09-24,2025-03-07,Venue,Mid,Diesel,Blue,Referral,SP20,558249,23550,No,No,33677,534699
INV10203,2025-05-24,2025-10-16,Baleno,Top,Petrol,White,Walk-in,SP10,1032451,36524,Yes,No,31039,995927
INV10204,2025-01-20,2025-02-22,Swift,Top,Petrol,Silver,Walk-in,SP5,623844,54606,No,Yes,47785,569238
INV10205,2025-01-21,2025-03-30,Creta,Base,Petrol,Red,Corporate,SP18,866731,68819,Yes,No,24570,797912
INV10206,2024-04-22,2024-06-08,Creta,Mid,Petrol,Black,Walk-in,SP15,1255640,70227,Yes,Yes,92242,1185413
INV10207,2025-09-04,2025-06-06,Venue,Base,Petrol,White,Walk-in,SP20,834123,23212,No,No,31655,810911
INV10208,2025-09-16,2025-10-11,Creta,Top,EV,Black,Corporate,SP8,1103148,40118,Yes,Yes,118738,1063030
INV10209,2024-03-21,2025-08-12,Nexon,Base,EV,Silver,Referral,SP17,1700791,28602,No,No,67907,1672189
INV10210,2025-11-29,2024-03-17,Baleno,Base,Petrol,Black,Corporate,SP12,1324428,17540,Yes,No,29449,1306888
INV10211,2024-04-22,2025-05-23,Swift,Top,Diesel,White,Corporate,SP12,1953540,35829,No,No,44630,1917711
INV10212,2024-01-02,2025-03-16,Nexon,Mid,Petrol,White,Corporate,SP1,856215,56309,Yes,Yes,94658,799906
INV10213,2025-10-03,2024-09-10,Baleno,Base,EV,Silver,Digital,SP4,547252,65403,No,Yes,66371,481849
INV10214,2024-08-07,2024-11-15,City,Top,Petrol,White,Referral,SP8,1409166,71455,No,No,30991,1337711
INV10215,2025-07-19,2024-09-19,Venue,Mid,EV,Silver,Digital,SP1,956395,22277,No,No,44887,934118
INV10216,2024-08-12,2025-08-19,Creta,Top,EV,Silver,Digital,SP15,1601332,59673,No,No,33859,1541659
INV10217,2025-01-19,2025-10-19,City,Base,Petrol,White,Walk-in,SP18,852690,17676,Yes,No,43640,835014
INV10218,2025-02-06,2025-07-07,Creta,Mid,Petrol,Blue,Corporate,SP1,893236,42844,No,Yes,68339,850392
INV10219,2025-09-29,2025-01-08,Nexon,Mid,Diesel,Silver,Corporate,SP11,1412234,64708,Yes,No,111068,1347526
INV10220,2024-05-09,2025-09-28,Swift,Top,EV,White,Digital,SP2,1759901,9752,Yes,No,124765,1750149
INV10221,2024-02-22,2024-06-15,Swift,Top,Diesel,Blue,Walk-in,SP1,870565,74711,No,Yes,73235,795854
