Lead_ID,Lead_Date,Lead_Source,Preferred_Model,Preferred_Variant,Assigned_Salesperson,Lead_Status,Followup_Count,Finance_Intent,Exchange_Intent
LD20039,2025-09-17,Referral,Swift,Mid,SP6,Test Drive,3,Yes,Yes
LD20040,2024-05-05,Facebook,Venue,Base,SP8,New,8,Yes,Yes
LD20041,2025-08-24,Aggregator,City,Base,SP1,Test Drive,5,Yes,Yes
LD20042,2025-07-26,Walk-in,Baleno,Mid,SP20,Booked,8,Yes,No
LD20043,2025-05-14,Website,Baleno,Top,SP15,Test Drive,7,Yes,No
LD20044,2024-04-11,Aggregator,Creta,Top,SP17,Lost,6,No,Yes
LD20045,2025-09-17,Referral,City,Mid,SP18,New,4,Yes,No
LD20046,2024-06-22,Aggregator,City,Mid,SP3,Booked,8,Yes,Yes
LD20047,2025-03-27,Website,Venue,Mid,SP6,Booked,3,No,Yes
LD20048,2024-04-01,Website,Creta,Mid,SP17,Booked,3,Yes,Yes
LD20049,2025-11-25,Referral,Nexon,Top,SP13,Contacted,7,No,No
LD20050,2025-01-19,Referral,Creta,Mid,SP17,Contacted,3,No,Yes
LD20051,2024-07-23,Facebook,Swift,Base,SP16,Test Drive,6,Yes,Yes
LD20052,2024-12-28,Website,Venue,Top,SP17,Contacted,3,Yes,No
LD20053,2025-12-07,Referral,Nexon,Top,SP1,Booked,0,No,Yes
LD20054,2025-05-12,Website,Nexon,Base,SP16,New,9,Yes,No
LD20055,2025-06-20,Facebook,Baleno,Mid,SP6,Test Drive,8,No,No
LD20056,2024-08-21,Walk-in,Swift,Mid,SP8,New,3,Yes,No
LD20057,2024-01-16,Website,Creta,Mid,SP1,Test Drive,2,Yes,No
LD20058,2024-05-20,Facebook,Baleno,Mid,SP2,Booked,2,No,No
LD20059,2025-09-11,Facebook,City,Mid,SP15,New,8,No,No
LD20060,2025-02-23,Facebook,Venue,Base,SP5,Booked,7,No,No
LD20061,2025-03-31,Aggregator,Creta,Mid,SP20,New,9,No,No
LD20062,2024-10-26,Referral,City,Base,SP15,Test Drive,6,No,No
LD20063,2024-12-04,Website,Nexon,Base,SP10,Test Drive,6,No,No
LD20064,2024-10-29,Aggregator,Creta,Base,SP5,Contacted,3,No,No
LD20065,2025-08-14,Website,Baleno,Mid,SP3,New,2,No,No
LD20066,2024-03-16,Aggregator,Swift,Mid,SP6,Booked,3,No,No
LD20067,2025-09-15,Referral,Baleno,Top,SP15,Contacted,5,No,No
LD20068,2024-11-11,Facebook,Venue,Top,SP18,New,3,Yes,No
LD20069,2025-05-14,Website,Venue,Base,SP14,Booked,3,Yes,No
LD20070,2024-03-15,Facebook,Creta,Top,SP10,New,1,No,No
LD20071,2025-12-26,Referral,Baleno,Base,SP4,Booked,6,Yes,Yes
LD20072,2024-12-31,Website,Swift,Top,SP11,Test Drive,5,No,Yes
LD20073,2025-06-29,Walk-in,Nexon,Mid,SP20,New,1,Yes,No
LD20074,2025-10-14,Walk-in,Venue,Mid,SP7,New,4,Yes,No
LD20075,2025-11-08,Walk-in,Swift,Base,SP15,Test Drive,5,Yes,Yes
LD20076,2025-01-30,Referral,City,Base,SP9,New,4,Yes,Yes
LD20077,2024-08-18,Walk-in,Creta,Mid,SP15,New,3,Yes,No
LD20078,2024-01-28,Website,Swift,Mid,SP12,Booked,8,No,No
LD20079,2025-04-19,Walk-in,Creta,Mid,SP18,Test Drive,2,Yes,Yes
LD20080,2024-10-21,Website,City,Top,SP6,Contacted,1,Yes,No
LD20081,2025-03-02,Referral,Swift,Top,SP18,Test Drive,8,No,Yes
LD20082,2024-03-31,Facebook,Swift,Top,SP18,Test Drive,7,Yes,No
LD20083,2024-04-24,Aggregator,Nexon,Top,SP6,Test Drive,8,Yes,Yes
LD20084,2024-06-07,Walk-in,City,Base,SP15,Test Drive,9,Yes,No
LD20085,2024-09-14,Aggregator,Baleno,Base,SP19,Lost,2,Yes,No
LD20086,2025-01-07,Facebook,Swift,Top,SP5,Contacted,0,Yes,Yes
LD20087,2024-03-30,Referral,Nexon,Base,SP4,Contacted,0,Yes,No
LD20088,2024-10-24,Referral,Swift,Top,SP17,New,2,Yes,Yes
LD20089,2024-01-31,Facebook,Nexon,Top,SP10,New,3,No,Yes
LD20090,2024-12-23,Aggregator,Venue,Mid,SP12,New,1,No,Yes
LD20091,2025-04-14,Walk-in,Baleno,Top,SP5,Contacted,7,No,No
LD20092,2024-05-07,Website,Swift,Base,SP7,Test Drive,2,Yes,Yes
LD20093,2024-09-26,Referral,City,Top,SP12,New,3,Yes,No
LD20094,2025-05-12,Facebook,Creta,Mid,SP2,Booked,5,No,Yes
LD20095,2025-02-16,Aggregator,City,Base,SP20,Contacted,9,No,Yes
LD20096,2024-07-27,Walk-in,Baleno,Mid,SP17,Lost,5,No,Yes
LD20097,2025-11-20,Aggregator,Venue,Top,SP13,Test Drive,1,Yes,Yes
LD20098,2024-11-01,Walk-in,Venue,Top,SP5,Booked,5,No,No
LD20099,2024-07-09,Website,Venue,Top,SP5,Booked,3,Yes,No
LD20100,2024-12-22,Website,Nexon,Top,SP20,Booked,4,No,No
LD20101,2025-04-01,Facebook,City,Base,SP12,Test Drive,6,No,No
LD20102,2025-03-24,Facebook,Creta,Top,SP12,Contacted,6,Yes,No
LD20103,2024-03-08,Walk-in,Creta,Mid,SP7,Test Drive,5,Yes,No
LD20104,2025-04-11,Walk-in,Nexon,Base,SP6,Contacted,9,Yes,Yes
LD20105,2024-12-25,Walk-in,Swift,Base,SP10,New,5,Yes,No
LD20106,2025-01-21,Walk-in,Nexon,Base,SP19,Contacted,5,Yes,No
LD20107,2024-05-07,Website,Creta,Mid,SP16,New,3,Yes,No
LD20108,2025-04-29,Facebook,Creta,Mid,SP2,Contacted,2,No,No
LD20109,2024-08-31,Facebook,Swift,Mid,SP4,New,0,Yes,No
LD20110,2024-01-19,Referral,City,Mid,SP9,Contacted,2,Yes,No
LD20111,2025-01-30,Facebook,City,Top,SP5,New,2,Yes,Yes
LD20112,2025-10-28,Facebook,Baleno,Top,SP1,Contacted,8,No,Yes
LD20113,2024-08-16,Aggregator,City,Mid,SP11,Booked,2,No,No
LD20114,2025-01-02,Aggregator,Venue,Mid,SP19,Contacted,7,Yes,Yes
LD20115,2024-02-27,Referral,Venue,Top,SP3,Lost,7,Yes,No
LD20116,2024-10-07,Walk-in,Baleno,Top,SP1,New,2,Yes,Yes
LD20117,2025-07-10,Referral,Creta,Mid,SP4,Booked,9,Yes,No
LD20118,2024-04-11,Referral,Baleno,Base,SP9,New,9,Yes,Yes
LD20119,2024-02-17,Website,Swift,Base,SP16,Lost,5,Yes,Yes
LD20120,2025-07-15,Facebook,Baleno,Mid,SP7,New,7,No,No
LD20121,2025-08-15,Website,Baleno,Base,SP5,Booked,7,Yes,No
LD20122,2024-02-28,Facebook,Nexon,Top,SP13,New,9,Yes,Yes
LD20123,2024-06-09,Referral,Venue,Base,SP11,Test Drive,9,Yes,No
LD20124,2024-04-12,Facebook,Swift,Mid,SP14,New,8,Yes,No
LD20125,2025-02-15,Walk-in,Nexon,Base,SP17,Test Drive,8,No,No
LD20126,2024-07-01,Walk-in,Swift,Base,SP12,Test Drive,7,Yes,No
LD20127,2025-02-20,Referral,Baleno,Base,SP19,Lost,6,No,No
LD20128,2024-04-25,Aggregator,Nexon,Top,SP5,Test Drive,9,Yes,No
LD20129,2025-02-02,Walk-in,Nexon,Top,SP8,Contacted,2,Yes,Yes
LD20130,2025-11-06,Referral,Swift,Top,SP2,New,6,Yes,No
LD20131,2025-10-16,Website,Swift,Mid,SP17,Test Drive,3,No,No
LD20132,2025-03-12,Aggregator,City,Base,SP2,New,1,No,Yes
LD20133,2024-11-13,Walk-in,Swift,Top,SP3,Booked,7,Yes,Yes
LD20134,2025-08-28,Referral,Nexon,Top,SP20,New,1,Yes,Yes
LD20135,2024-09-06,Referral,Creta,Base,SP18,Test Drive,0,Yes,No
LD20136,2025-03-22,Website,Swift,Mid,SP15,Test Drive,4,Yes,Yes
LD20137,2025-05-11,Website,Venue,Base,SP5,Contacted,9,Yes,Yes
LD20138,2024-12-08,Aggregator,City,Mid,SP17,Test Drive,8,Yes,Yes
LD20139,2025-03-02,Walk-in,Venue,Base,SP14,Contacted,4,Yes,Yes
LD20140,2024-08-27,Referral,Venue,Top,SP1,New,1,No,Yes
LD20141,2024-02-28,Aggregator,Creta,Top,SP14,Lost,9,No,Yes
LD20142,2025-06-10,Aggregator,City,Top,SP9,Contacted,3,Yes,Yes
LD20143,2024-07-21,Website,Baleno,Mid,SP5,Booked,7,Yes,Yes
LD20144,2025-04-10,Referral,Nexon,Base,SP4,Test Drive,6,Yes,No
LD20145,2024-10-22,Facebook,Nexon,Mid,SP1,Test Drive,4,Yes,No
LD20146,2024-10-13,Website,Swift,Top,SP3,New,3,Yes,Yes
LD20147,2024-03-13,Referral,Nexon,Mid,SP20,Test Drive,4,Yes,No
LD20148,2025-12-26,Aggregator,Creta,Mid,SP11,Contacted,6,No,No
LD20149,2025-06-06,Aggregator,Nexon,Mid,SP16,Contacted,4,No,No
LD20150,2024-12-02,Walk-in,Creta,Base,SP11,Lost,7,No,Yes
LD20151,2024-11-13,Facebook,Baleno,Mid,SP10,New,6,Yes,Yes
LD20152,2024-07-21,Website,Creta,Mid,SP12,Booked,6,No,No
LD20153,2024-08-18,Walk-in,Baleno,Mid,SP5,Contacted,8,Yes,Yes
LD20154,2025-07-16,Walk-in,Baleno,Top,SP10,Contacted,7,No,No
LD20155,2024-02-26,Facebook,Baleno,Top,SP13,Contacted,7,Yes,Yes
LD20156,2025-10-05,Website,Creta,Base,SP19,Contacted,5,No,No
LD20157,2025-02-23,Website,Baleno,Top,SP7,Contacted,6,Yes,Yes
LD20158,2024-10-06,Aggregator,Creta,Base,SP16,Contacted,7,No,Yes
LD20159,2024-10-31,Website,City,Top,SP6,Test Drive,4,No,No
LD20160,2025-04-10,Walk-in,Baleno,Base,SP10,New,9,No,No
LD20161,2024-06-22,Aggregator,Creta,Base,SP10,Contacted,1,Yes,No
LD20162,2024-09-22,Website,Creta,Base,SP11,Contacted,6,Yes,No
LD20163,2024-09-03,Facebook,Creta,Top,SP10,Booked,9,Yes,Yes
LD20164,2024-03-18,Walk-in,Swift,Mid,SP14,New,2,Yes,Yes
LD20165,2025-10-08,Referral,Swift,Top,SP15,Lost,9,Yes,No
LD20166,2025-10-13,Facebook,Baleno,Mid,SP7,New,7,No,No
LD20167,2024-09-09,Facebook,Nexon,Top,SP13,Contacted,5,Yes,Yes
LD20168,2025-04-19,Website,City,Mid,SP11,New,3,Yes,Yes
LD20169,2024-06-24,Aggregator,Nexon,Top,SP7,Contacted,1,Yes,Yes
LD20170,2025-02-24,Aggregator,Baleno,Base,SP11,Booked,6,No,Yes
LD20171,2025-07-25,Walk-in,Venue,Base,SP14,Contacted,0,No,No
LD20172,2025-04-05,Website,Venue,Base,SP17,New,6,No,No
LD20173,2024-09-10,Aggregator,City,Mid,SP16,New,9,Yes,Yes
LD20174,2025-06-03,Referral,City,Mid,SP1,New,9,Yes,Yes
LD20175,2024-04-16,Website,City,Base,SP9,Lost,6,No,No
LD20176,2024-06-19,Website,Swift,Mid,SP9,Booked,9,Yes,No
LD20177,2024-02-27,Aggregator,Swift,Base,SP10,Contacted,2,Yes,Yes
LD20178,2024-12-02,Facebook,Venue,Top,SP19,Contacted,3,Yes,No
LD20179,2024-12-07,Website,City,Mid,SP15,Booked,3,Yes,No
LD20180,2024-10-16,Facebook,Creta,Mid,SP16,Test Drive,3,Yes,Yes
LD20181,2024-03-24,Walk-in,Nexon,Top,SP11,Booked,8,No,No
LD20182,2024-04-26,Walk-in,Venue,Mid,SP17,Contacted,5,No,Yes
LD20183,2025-12-12,Aggregator,City,Mid,SP19,New,9,No,Yes
LD20184,2025-06-17,Walk-in,Creta,Mid,SP13,Booked,8,Yes,Yes
LD20185,2024-08-06,Aggregator,City,Top,SP6,Test Drive,3,No,No
LD20186,2024-04-11,Aggregator,Baleno,Base,SP15,Test Drive,6,Yes,No
LD20187,2025-10-18,Facebook,Creta,Base,SP16,New,9,No,No
LD20188,2025-03-31,Facebook,Nexon,Top,SP4,Test Drive,8,Yes,Yes
LD20189,2025-10-20,Walk-in,Baleno,Top,SP8,Contacted,9,Yes,No
LD20190,2025-06-09,Facebook,Swift,Top,SP7,Contacted,2,No,No
LD20191,2024-09-22,Website,Venue,Base,SP17,Test Drive,2,No,Yes
LD20192,2024-10-13,Referral,City,Top,SP16,Test Drive,5,No,No
LD20193,2024-05-20,Website,Venue,Base,SP2,Test Drive,7,Yes,No
LD20194,2025-02-09,Website,Nexon,Top,SP17,Lost,0,No,Yes
LD20195,2024-10-19,Aggregator,City,Mid,SP4,Booked,3,No,No
LD20196,2024-01-31,Referral,Baleno,Base,SP14,Test Drive,7,No,No
LD20197,2024-06-19,Aggregator,Creta,Base,SP8,Test Drive,5,No,No
LD20198,2024-12-20,Facebook,Creta,Top,SP5,Contacted,1,Yes,No
LD20199,2024-07-23,Facebook,City,Mid,SP5,Booked,7,Yes,No
LD20200,2025-04-22,Referral,Baleno,Base,SP5,Contacted,0,Yes,No
LD20201,2024-10-17,Walk-in,City,Top,SP5,Booked,0,No,Yes
LD20202,2024-04-20,Facebook,City,Mid,SP3,Contacted,6,No,Yes
LD20203,2024-03-08,Website,City,Base,SP6,New,9,No,Yes
LD20204,2025-11-25,Referral,Creta,Top,SP1,New,2,Yes,No
LD20205,2025-01-07,Referral,Nexon,Mid,SP8,Test Drive,7,No,Yes
LD20206,2024-07-14,Facebook,City,Base,SP13,Contacted,8,Yes,Yes
LD20207,2024-05-05,Facebook,Creta,Base,SP20,Contacted,7,No,Yes
LD20208,2025-11-17,Aggregator,Swift,Mid,SP6,Test Drive,0,Yes,No
LD20209,2024-09-18,Aggregator,Baleno,Top,SP18,New,0,Yes,Yes
LD20210,2024-06-03,Website,Swift,Top,SP18,New,5,No,No
LD20211,2025-08-03,Referral,City,Mid,SP16,Contacted,0,No,Yes
LD20212,2024-04-17,Walk-in,Creta,Base,SP8,Booked,7,Yes,Yes
LD20213,2025-02-26,Walk-in,Baleno,Mid,SP17,Test Drive,5,Yes,Yes
LD20214,2024-02-04,Referral,Venue,Mid,SP8,Booked,4,No,Yes
LD20215,2024-02-13,Website,Baleno,Mid,SP15,Contacted,5,Yes,No
LD20216,2025-10-16,Aggregator,Baleno,Base,SP10,Contacted,3,No,Yes
LD20217,2025-12-23,Aggregator,City,Mid,SP1,New,0,No,Yes
LD20218,2025-02-19,Aggregator,Swift,Mid,SP9,Lost,6,Yes,Yes
LD20219,2024-10-11,Walk-in,Swift,Base,SP17,Test Drive,9,Yes,No
LD20220,2025-03-22,Walk-in,Venue,Base,SP20,Test Drive,8,No,Yes
LD20221,2025-06-01,Website,City,Mid,SP1,Lost,3,Yes,Yes
LD20222,2025-12-30,Walk-in,Baleno,Top,SP9,Contacted,3,Yes,No
LD20223,2024-01-27,Facebook,Nexon,Mid,SP14,Contacted,8,No,No
LD20224,2024-08-14,Walk-in,Swift,Base,SP5,Test Drive,3,Yes,Yes
LD20225,2025-02-28,Aggregator,Swift,Base,SP6,Booked,9,Yes,Yes
LD20226,2025-07-21,Website,Creta,Base,SP5,Test Drive,3,Yes,Yes
LD20227,2025-01-02,Referral,Baleno,Top,SP4,Booked,7,Yes,Yes
LD20228,2024-11-05,Referral,City,Base,SP16,Test Drive,3,No,No
LD20229,2024-04-14,Website,Swift,Top,SP16,Booked,8,Yes,Yes
LD20230,2024-01-18,Facebook,City,Base,SP10,Test Drive,7,Yes,Yes
LD20231,2024-07-23,Referral,Baleno,Base,SP14,New,4,Yes,Yes
LD20232,2024-02-12,Aggregator,Baleno,Mid,SP13,Test Drive,8,Yes,No
LD20233,2024-03-29,Referral,Swift,Top,SP4,Booked,7,No,No
LD20234,2025-08-08,Referral,Venue,Mid,SP14,Test Drive,9,No,Yes
LD20235,2024-06-05,Aggregator,City,Top,SP9,New,3,No,No
LD20236,2024-09-22,Walk-in,City,Base,SP3,New,3,Yes,Yes
LD20237,2024-05-13,Facebook,Creta,Base,SP10,Contacted,0,No,Yes
LD20238,2025-04-08,Aggregator,Baleno,Top,SP15,Lost,3,No,No
LD20239,2025-08-23,Aggregator,Baleno,Mid,SP19,New,7,Yes,No
LD20240,2024-05-11,Website,Swift,Top,SP2,Contacted,4,Yes,No
LD20241,2024-02-03,Facebook,Swift,Top,SP2,Test Drive,5,No,Yes
LD20242,2024-03-23,Walk-in,Swift,Top,SP9,Booked,3,No,No
LD20243,2024-05-11,Aggregator,Creta,Base,SP4,Booked,4,Yes,Yes
LD20244,2025-03-03,Walk-in,Venue,Top,SP5,Lost,9,Yes,No
LD20245,2024-07-22,Aggregator,Swift,Base,SP2,Test Drive,7,Yes,Yes
LD20246,2024-12-01,Aggregator,Swift,Mid,SP7,Booked,8,No,Yes
LD20247,2025-05-11,Website,Nexon,Base,SP19,Contacted,2,Yes,Yes
LD20248,2025-03-17,Referral,Swift,Mid,SP6,Contacted,9,No,No
LD20249,2024-09-14,Facebook,Creta,Mid,SP16,Booked,3,No,No
LD20250,2024-10-18,Website,City,Mid,SP14,Contacted,0,No,No
LD20251,2024-05-04,Walk-in,Venue,Base,SP12,Booked,4,Yes,Yes
LD20252,2025-10-24,Aggregator,City,Top,SP6,Contacted,3,No,No
LD20253,2024-06-23,Aggregator,Nexon,Base,SP13,Contacted,5,No,No
LD20254,2025-05-06,Facebook,Baleno,Mid,SP15,Contacted,5,No,No
LD20255,2024-03-20,Website,Baleno,Top,SP14,Test Drive,9,No,No
LD20256,2025-09-10,Website,Swift,Base,SP8,New,5,Yes,Yes
LD20257,2024-10-31,Walk-in,Nexon,Mid,SP20,New,2,No,No
LD20258,2025-05-24,Website,City,Mid,SP11,Booked,6,Yes,Yes
LD20259,2024-12-09,Website,Creta,Top,SP9,Lost,2,Yes,Yes
LD20260,2025-07-23,Referral,Venue,Base,SP12,New,5,No,Yes
LD20261,2024-03-31,Facebook,City,Top,SP6,Test Drive,9,No,Yes
LD20262,2025-10-08,Website,Nexon,Top,SP19,Test Drive,0,Yes,Yes
LD20263,2024-06-17,Walk-in,Nexon,Top,SP3,Contacted,7,Yes,No
LD20264,2024-11-29,Aggregator,City,Top,SP1,Test Drive,6,Yes,No
LD20265,2025-09-25,Website,Venue,Base,SP15,Contacted,8,Yes,Yes
LD20266,2024-08-23,Website,City,Top,SP15,Contacted,2,No,No
LD20267,2025-02-02,Aggregator,City,Mid,SP5,Booked,7,No,Yes
LD20268,2025-08-10,Referral,Venue,Mid,SP11,Test Drive,1,No,Yes
LD20269,2025-04-21,Facebook,Creta,Mid,SP1,Contacted,8,No,Yes
LD20270,2025-06-18,Referral,Nexon,Top,SP10,Test Drive,0,Yes,Yes
LD20271,2025-08-07,Walk-in,Venue,Mid,SP20,Test Drive,9,Yes,No
LD20272,2024-03-28,Website,Swift,Base,SP11,Test Drive,6,No,Yes
LD20273,2025-09-06,Referral,Swift,Top,SP7,Test Drive,9,No,No
LD20274,2025-08-28,Facebook,Swift,Top,SP17,Test Drive,0,No,No
LD20275,2024-09-09,Walk-in,Swift,Top,SP12,Contacted,5,Yes,No
LD20276,2024-12-23,Referral,Baleno,Base,SP4,Contacted,0,No,No
LD20277,2024-02-27,Website,Creta,Top,SP12,Test Drive,3,Yes,Yes
LD20278,2025-02-02,Facebook,Baleno,Top,SP3,Booked,6,Yes,No
LD20279,2025-06-04,Website,City,Mid,SP18,Contacted,1,Yes,Yes
LD20280,2025-06-08,Website,City,Mid,SP12,Contacted,2,Yes,No
LD20281,2025-02-20,Walk-in,Venue,Top,SP19,Booked,3,No,Yes
LD20282,2025-01-27,Facebook,Swift,Base,SP13,New,5,Yes,Yes
LD20283,2025-10-04,Aggregator,Venue,Mid,SP16,New,8,Yes,No
LD20284,2024-08-09,Website,City,Top,SP8,Contacted,3,No,No
LD20285,2024-11-24,Facebook,Swift,Mid,SP6,New,5,No,No
LD20286,2025-01-06,Website,Nexon,Mid,SP10,Contacted,6,Yes,Yes
LD20287,2025-05-25,Referral,Creta,Base,SP10,Contacted,3,No,No
LD20288,2024-06-01,Referral,City,Top,SP6,Booked,5,No,No
LD20289,2025-04-24,Facebook,Nexon,Mid,SP8,Contacted,2,Yes,No
LD20290,2025-08-05,Walk-in,Venue,Top,SP18,Test Drive,4,No,Yes
LD20291,2024-01-20,Aggregator,Nexon,Base,SP17,Test Drive,9,Yes,No
LD20292,2025-08-15,Referral,Venue,Base,SP10,Contacted,3,Yes,No
LD20293,2024-08-15,Walk-in,City,Mid,SP2,New,6,No,Yes
LD20294,2024-12-11,Aggregator,Baleno,Base,SP12,Booked,5,No,No
LD20295,2024-01-19,Referral,Creta,Mid,SP20,New,6,No,Yes
LD20296,2025-03-19,Aggregator,Nexon,Top,SP10,New,5,Yes,Yes
LD20297,2025-11-07,Website,Nexon,Mid,SP9,New,1,No,Yes
LD20298,2025-01-02,Facebook,City,Mid,SP16,Contacted,6,Yes,Yes
LD20299,2025-09-10,Referral,City,Base,SP7,Booked,7,No,Yes
LD20300,2025-12-26,Referral,Venue,Top,SP9,Test Drive,6,Yes,Yes
LD20301,2024-05-26,Website,Swift,Top,SP6,Contacted,3,No,Yes
LD20302,2025-11-23,Referral,Swift,Mid,SP10,Lost,3,Yes,Yes
LD20303,2025-05-18,Referral,Swift,Top,SP7,New,4,No,Yes
LD20304,2025-03-05,Referral,Venue,Top,SP18,Test Drive,8,No,Yes
LD20305,2025-03-15,Referral,Swift,Mid,SP11,Booked,4,No,Yes
LD20306,2024-07-16,Referral,City,Mid,SP1,Booked,1,No,Yes
LD20307,2024-10-13,Walk-in,Baleno,Top,SP19,New,4,No,Yes
LD20308,2025-07-18,Referral,Baleno,Mid,SP5,Test Drive,2,Yes,Yes
LD20309,2025-01-03,Website,Baleno,Base,SP6,Contacted,9,Yes,No
LD20310,2024-08-27,Referral,Swift,Top,SP7,Contacted,7,No,Yes
LD20311,2024-10-13,Aggregator,Baleno,Mid,SP4,Contacted,9,Yes,No
LD20312,2025-11-30,Aggregator,Nexon,Top,SP16,Booked,9,Yes,No
LD20313,2025-01-29,Website,Swift,Top,SP10,New,1,No,No
LD20314,2025-06-01,Walk-in,Nexon,Base,SP15,New,3,No,No
LD20315,2025-07-14,Website,City,Base,SP13,New,4,Yes,No
LD20316,2025-12-12,Walk-in,Nexon,Top,SP8,New,3,Yes,No
LD20317,2024-02-29,Facebook,City,Base,SP13,New,4,No,Yes
LD20318,2025-06-28,Aggregator,Venue,Mid,SP7,Lost,9,No,No
LD20319,2024-10-29,Aggregator,Venue,Top,SP17,Contacted,3,No,Yes
LD20320,2024-08-31,Aggregator,Nexon,Base,SP4,New,2,Yes,Yes
LD20321,2025-11-14,Walk-in,Creta,Top,SP7,Test Drive,0,No,No
LD20322,2024-07-25,Website,City,Top,SP16,Booked,3,Yes,Yes
LD20323,2025-01-09,Walk-in,Swift,Mid,SP2,Booked,8,No,Yes
LD20324,2024-10-09,Aggregator,Creta,Mid,SP14,Booked,0,No,No
LD20325,2025-04-22,Aggregator,City,Mid,SP14,New,6,Yes,Yes
LD20326,2024-01-22,Aggregator,Swift,Base,SP8,Booked,2,No,No
LD20327,2025-07-12,Aggregator,City,Base,SP6,Test Drive,7,Yes,No
LD20328,2024-12-14,Facebook,City,Base,SP7,Test Drive,5,Yes,No
LD20329,2025-05-03,Aggregator,Swift,Mid,SP7,Lost,0,Yes,No
LD20330,2025-10-31,Walk-in,City,Top,SP2,Booked,9,No,No
LD20331,2024-09-14,Aggregator,City,Mid,SP4,Booked,4,No,Yes
LD20332,2025-10-16,Referral,City,Base,SP13,New,7,No,No
LD20333,2024-02-16,Facebook,Venue,Base,SP10,Contacted,2,Yes,No
LD20334,2024-01-27,Aggregator,Baleno,Base,SP9,Lost,3,No,Yes
LD20335,2024-01-27,Referral,City,Mid,SP15,Test Drive,6,No,No
LD20336,2025-01-31,Walk-in,Swift,Base,SP12,New,5,No,No
LD20337,2024-05-24,Facebook,Nexon,Mid,SP10,Booked,6,No,No
LD20338,2025-08-09,Aggregator,City,Top,SP19,New,8,No,No
LD20339,2025-11-29,Walk-in,Venue,Mid,SP5,Booked,8,Yes,No
LD20340,2025-06-05,Referral,Venue,Base,SP7,Booked,1,No,No
LD20341,2024-04-30,Facebook,Nexon,Top,SP20,Contacted,2,No,No
LD20342,2025-04-06,Aggregator,City,Base,SP11,Contacted,3,No,Yes
